App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Revenue Estimate,Review Engagement,Install Group,Rating Class
AI Browser,Food_And_Drink,3.95,3,14.6,500,Free,0.0,Everyone,Food And Drink,12-06-2026,4.10.23,0.0,0.006,Low,Good
AI Browser 3D 2025,Social,3.9,1,137.9,50,Free,0.0,Everyone,Social;Creativity,19-07-2024,4.11.15,0.0,0.02,Low,Good
AI Browser Hub,Productivity,4.0,2,100.2,100,Free,0.0,Everyone,Productivity,07-12-2025,12.8.72,0.0,0.02,Low,Good
AI Browser Plus,Events,3.8,2,43.2,50,Free,0.0,Everyone,Events;Creativity,05-10-2025,1.16.26,0.0,0.04,Low,Good
AI Chat,Game,3.5,1169,90.05,50000,Free,0.0,Everyone 10+,Game;Puzzle,22-06-2026,Varies with device,0.0,0.02338,Medium,Average
AI Chat App,Social,4.0,0,38.7,10,Free,0.0,Everyone,Family;Creativity,19-03-2022,12.7.8,0.0,0.0,Low,Good
AI Connect,Business,2.8,89918,43.1,5000000,Free,0.0,Everyone,Business,26-03-2024,10.4.92,0.0,0.0179836,Very High,Average
AI Connect 2026,Travel_And_Local,4.5,13,60.5,500,Free,0.0,Mature 17+,Travel And Local;Creativity,14-03-2026,6.3.50,0.0,0.026,Low,Good
AI Craft,Social,4.3,739,90.05,100000,Free,0.0,Teen,Family,18-01-2025,Varies with device,0.0,0.00739,Medium,Good
AI Craft 3D,Music,4.0,2,51.1,100,Free,0.0,Everyone,Tools,01-02-2026,2.1.59,0.0,0.02,Low,Good
AI Craft Go,Beauty,4.0,2,90.7,10,Free,0.0,Everyone,Beauty,26-02-2026,4.10.31,0.0,0.2,Low,Good
AI Craft Hub,Shopping,4.2,5,18.6,100,Free,0.0,Teen,Shopping;Creativity,11-08-2025,10.14.23,0.0,0.05,Low,Good
AI Craft Pro,Photography,4.9,40,192.6,1000,Free,0.0,Everyone,Photography;Creativity,04-06-2024,4.15.93,0.0,0.04,Low,Excellent
AI Dash,Game,4.9,11690,90.05,500000,Free,0.0,Everyone,Game;Casual,28-03-2024,Varies with device,0.0,0.02338,High,Excellent
