App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver
Craft Online 2025,Social,,12,58.6,500,Free,0,Everyone,Family,04-11-2025,11.18.98
Smart Chat AI,communication,4.5,5,121.2,1000,Paid,0.99,Teen,Communication,07-04-2024,12.11.31
Player Go,Productivity,4.7,2273,90.05,100000,Free,0,Everyone,Productivity,22-02-2026,Varies with device
Epic Telegram Hub,Social,4,0,29.7,100,Free,0,Mature 17+,Family,24-12-2025,15.7.37
My Telegram,Communication,5,380,39.6,10000,Free,0,Everyone 10+,Communication,02-06-2025,14.2.76
Hyper Connect Go,Web3_And_Crypto,4.6,189,141.7,5000,Free,0,Adults only 18+,Web3 And Crypto;Creativity,18-06-2025,5.13.56
Easy Connect App,Productivity,4.5,23,63.4,500,Free,0,Teen,Productivity;Creativity,22-02-2025,1.2.75
Hyper Craft Space,Finance,3.4,5,134.7,10,Free,0,Everyone,Finance,13-02-2025,1.4.23
Craft Plus,Social,2.5,81901,145.5,5000000,Free,0,Everyone,Social,25-05-2025,9.17.74
Pro Browser,Social,3.2,243,178.9,5000,Free,0,Everyone,Art And Design;Creativity,01-05-2025,15.6.28
My Instagram Online,Music,4,2,98.5,50,Free,0,Everyone,Tools,24-11-2025,2.9.60
Craft Plus 2024,Social,5,8,43.8,500,Free,0,Everyone,Family;Creativity,15-06-2025,14.11.95
Instagram_649,Productivity,4.5,13,42.2,500,Free,0,Everyone,Productivity,23-12-2023,11.3.61
My Pay_1546,Game,4.3,2,149.6,50,Free,0,Everyone,Game;Simulation,14-03-2025,7.0.63
Epic Health Premium,Music,3.3,5,71.7,10,Free,0,Everyone,Tools,21-05-2026,13.8.31
Smart Tracker Plus,  productivity  ,4,3,118.7,100,Free,0,Everyone,Productivity,08-04-2026,2.10.21
Quick Connect Space,Finance,4,1,57.3,100,Free,0,Mature 17+,Finance,25-07-2025,15.1.10
Pay Hub,Game,4.7,26,90.05,1000,Free,0,Everyone,Game;Puzzle,05-07-2025,Varies with device
Daily Health Max,Comics,3.9,0,141.9,100,Free,0,Everyone,Comics,01-11-2023,5.13.90
Telegram AI 2023,GAME,4.3,3,90.05,100,Free,0,Everyone,Game;RPG,22-09-2025,Varies with device
Instagram 2025,  game  ,3.7,402,581.1,10000,Free,0,Everyone,Game;Puzzle,18-06-2026,9.15.18
Easy Connect,Finance,4.5,125,140,10000,Free,0,Mature 17+,Finance,13-04-2026,8.20.85
Lite Editor Hub,Game  ,4.3,1,408.6,10,Free,0,Everyone,Game;Puzzle,09-12-2025,8.8.40
Drive Premium,music,4.6,1009,70.7,50000,Free,0,Everyone,Tools,09-05-2026,10.7.23
Super Instagram AI,Social,4.6,24,78.5,1000,Free,0,Everyone,Artificial Intelligence,04-03-2025,7.14.55
Pro Wallet Premium,Game,4.3,0,1448.4,10,Free,0,Everyone,Game;Shooter,30-10-2025,14.7.46
Daily Health Pro,Finance,5,13,138.1,1000,Free,0,Everyone,Finance,01-04-2024,4.18.48
Pay AI 2024,Social,3.3,339,8,10000,Free,0,Everyone,Medical,10-02-2025,5.6.17
Crypto Editor Max,social,3.7,269,18.4,10000,Free,0,Teen,Family,11-09-2025,15.9.27
Quick Maker Max,Social,3.8,1466,114.3,100000,Free,0,Everyone,Social,30-05-2026,8.5.45
Strike Max 2023,Beauty,4,1,122.4,10,Free,0,Everyone,Beauty,12-05-2025,13.19.18
Daily Drive,Music  ,4.4,209,137,5000,Free,0,Everyone,Tools,29-06-2025,8.9.95
Lite Drive,Music,3.6,398,143.2,10000,Free,0,Everyone,Tools,05-08-2024,6.0.82
Telegram_8842,game,4.3,1,948.6,100,Free,0,Everyone,Game;Card,04-01-2026,9.19.21
AI Strike Space,Game,3.1,46,848.3,1000,Free,0,Everyone 10+,Game;Board,27-06-2025,2.9.4
Lite VPN App 2023,Social,4,4,96.8,100,Free,0,Everyone,Family,24-03-2025,13.15.85
Quick Dash,Game,5,144223,67.9,5000000,Free,0,Everyone,Game;Simulation,05-05-2026,5.8.66
Super Telegram Premium,Social,,0,144.5,10,Free,0,Everyone,Artificial Intelligence,21-10-2024,2.16.100
Crypto Wallet AI,  Music,4,0,7.1,100,Free,0,Everyone,Tools,29-03-2026,4.20.34
Health Go 2024,Entertainment,4,3,7.4,50,Free,0,Everyone,Entertainment,22-03-2026,1.18.11
Browser Premium_8958,productivity,4,2,123.7,100,Free,0,Everyone,Productivity,17-11-2023,13.15.5
Meta Instagram AI,News_And_Magazines  ,3.1,1130,36.7,50000,Free,0,Everyone,News And Magazines,14-01-2026,11.3.48
Daily Wallet 2024,  Entertainment,4.8,17,90.05,500,Free,0,Everyone,Entertainment,03-02-2025,Varies with device
Chat Online,Game,5,1990072,321.5,50000000,Free,0,Everyone,Game;Action,17-09-2023,8.1.82
AI Maker 2023,Entertainment,4,4,135.5,100,Free,0,Everyone 10+,Entertainment;Creativity,14-09-2024,6.4.53
Ultra Telegram Space,Finance,4.6,481,,10000,Free,0,Teen,Finance,21-09-2025,10.2.38
Ultra Chat Premium,SOCIAL,4,4,71.5,50,Free,0,Everyone,Family,01-05-2025,10.12.14
AI Fit,Social,4.2,1944,,50000,Free,0,Teen,Family,12-02-2025,6.11.49
Next Tracker Max,Social,4,0,141.4,10,Free,0,Teen,Family,18-03-2026,5.15.42
Player 2026_4861,Finance,4.2,5,78,50,Free,0,Everyone,Finance,15-11-2024,3.17.28
Maker,Social,3.3,1001326,81.9,50000000,Free,0,Everyone,Family,16-06-2026,1.15.68
Craft Go,Social,4.4,207718,42.5,10000000,Free,0,Everyone,Family,10-11-2025,6.18.29
Epic VPN Hub,Game,4.3,4,1855.4,100,Free,0,Everyone,Game;Board,18-01-2025,7.1.0
Ultra Wallet 3D,  Game,4.5,3415,1533.7,100000,Free,0,Everyone 10+,Game;Puzzle,02-01-2026,3.20.27
My Strike 2023,House_And_Home,3.8,11,88.2,500,Free,0,Teen,House And Home,06-07-2025,2.6.38
Tracker Hub 2025,Finance,4.1,22,149.7,1000,Free,0,Everyone,Finance,26-01-2026,10.4.96
Hyper Player Space,social,3.7,5,90.05,100,Free,0,Teen,Artificial Intelligence;Creativity,12-01-2026,Varies with device
Chat Go 2024,  libraries_and_demo  ,4.7,12,90.05,1000,Paid,0.99,Mature 17+,Libraries And Demo,01-02-2026,Varies with device
Smart Connect Online,Social,4.6,5,76.3,10,Free,0,Everyone,Family;Creativity,10-03-2026,7.0.84
Instagram 3D,Game,5,56867,90.05,5000000,Free,0,Everyone,Game;Puzzle,07-03-2026,Varies with device
AI Wallet,Game,3.8,4217,90.05,100000,Free,0,Everyone,Game;Puzzle,17-05-2026,Varies with device
Quick Wallet 2023,MUSIC,4.8,176762,44.5,5000000,Free,0,Everyone,Tools,21-02-2024,4.13.32
Super Craft 2026,  Game,4.3,2,90.05,100,Free,0,Everyone,Game;Strategy,18-01-2026,Varies with device
AI Fit Plus,Music,3.8,5,137.8,100,Free,0,Everyone,Tools,22-04-2026,3.15.19
Crypto Learn AI,Video_Players,,1,43.7,50,Free,0,Everyone,Video Players,17-04-2025,6.14.0
Ultra Telegram Plus,Social,4,2,105.7,10,Free,0,Everyone,Family,20-03-2026,8.1.45
Daily Pay,social,2.9,1306,58.6,50000,Free,0,Teen,Artificial Intelligence,27-01-2026,4.13.74
Easy Pay,SOCIAL,3,43,12.5,1000,Free,0,Everyone,Family,26-04-2024,10.9.17
Meta Learn Premium,social,3.8,85,32.4,10000,Free,0,Everyone,Family,13-01-2026,12.15.46
My Telegram Max,Game,4.3,3,1312.1,50,Free,0,Everyone,Game;Puzzle,25-05-2025,15.15.38
My Editor,SOCIAL,4.4,124201,89.5,10000000,Free,0,Everyone 10+,Family,26-01-2026,4.9.75
Craft AI,GAME,4,20257,90.05,500000,Free,0,Everyone,Game;Action,30-12-2022,Varies with device
Health Premium 2026,GAME,4.3,2,572.9,100,Free,0,Everyone,Game;Shooter,09-07-2025,10.6.27
Epic Browser 3D,SOCIAL,4,2,7.2,100,Free,0,Everyone,Family,09-08-2025,15.17.63
Pro Health App,Productivity,4,1,124.8,100,Free,0,Everyone,Productivity,17-07-2025,15.3.41
Easy Dash Hub,Social,3.9,0,92.9,10,Free,0,Everyone,Social,23-09-2023,2.12.50
Easy Health Space,Music,4.2,24,68.9,500,Free,0,Everyone,Tools;Creativity,27-07-2025,8.18.44
Easy Maker AI,Events,3.8,3,90.05,100,Paid,4.99,Teen,Events,18-08-2023,Varies with device
Lite Connect Go,Game,4.3,0,820.3,100,Free,0,Everyone,Game;Casual,31-05-2026,3.12.0
Lite Telegram App,Events,3.9,12,87.7,500,Free,0,Everyone,Events,24-02-2026,14.0.54
Smart Editor Now,Music,5,155,61.5,5000,Free,0,Everyone,Tools,22-06-2026,6.15.33
Easy Strike Premium,Productivity,3.8,1348,90.05,50000,Free,0,Teen,Productivity,05-07-2024,Varies with device
My Player_7149,  Food_And_Drink,3.6,48,25.2,1000,Free,0,Everyone 10+,Food And Drink,31-10-2025,15.5.63
Easy Dash Pro,Beauty,4,2,90.05,50,Free,0,Mature 17+,Beauty,27-03-2025,Varies with device
Super Wallet 2023,Communication,3.6,381,90.05,10000,Free,0,Everyone,Communication;Creativity,24-06-2026,Varies with device
Smart Tracker Online,  Books_And_Reference,4.1,15,5,500,Free,0,Mature 17+,Books And Reference,14-01-2026,2.16.40
Drive Pro 2023,Finance,4,4,141.7,50,Free,0,Everyone,Finance,20-06-2026,11.19.16
My Strike Hub,Business,3.8,1,111.9,50,Free,0,Everyone,Business;Creativity,23-01-2026,12.14.42
My Fit Go,  social  ,3.1,22,101.2,500,Free,0,Everyone,Family,20-03-2026,8.9.19
Drive Hub,  social  ,4.6,20767,7.6,1000000,Free,0,Teen,Social,26-04-2026,14.3.39
My Health AI,Lifestyle,4,4,110,50,Free,0,Teen,Lifestyle,15-12-2025,6.5.39
AI Strike Premium,Social,5,8,38.8,500,Free,0,Everyone,Family,02-04-2025,3.13.26
Next Learn Premium,Social,4,2,100,10,Free,0,Everyone,Family;Creativity,23-07-2024,4.20.53
Super Drive Premium 2025,Social,4.9,144,15.8,5000,Free,0,Everyone,Artificial Intelligence,16-10-2024,4.16.95
Pro Drive Plus,Music  ,4,0,90.05,10,Free,0,Everyone,Tools,20-04-2025,Varies with device
